State,District,Location,Longitude,Latitude,Year,pH,EC,HCO3,CI,F,SO4,NO3,PO4,Total Hardness,Ca,Mg,K,Fe,As,U,Pb,Cd,Ni,Cr
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.03,27.84,2020,8.8,944,234,132,0.9,50,22,0.1,388,90,44,2.8,0.5,17,44,9,2.8,22,17
Odisha,Sukinda,Chromite Mining Valley Downstream,85.83,21.01,2020,9.1,1643,416,241,1.8,110,44,0.3,602,153,71,4.6,2.4,33,27,33,6.6,110,274
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.4,26.4,2020,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.79,26.9,2020,8.7,1085,285,159,1.0,57,25,0.1,434,103,51,3.2,0.3,9,28,6,1.1,17,11
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.76,26.87,2020,9.7,1374,342,205,1.4,80,34,0.2,514,126,62,3.4,0.9,40,74,17,4.5,57,51
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.19,26.87,2020,9.3,2156,566,341,1.9,148,57,0.8,796,205,91,5.7
,,"Bareilly , Nakatiya",79.4609,28.3302,2025,,,,,,,,,,,,,4,1,0.2,1,2,0.3,0.1
,,"Bareilly , Nariyaval",28.3302,79.4609,2025,,,,,,,,,,,,,5,0.9,1,2,1,4,3
,,"Manesar Industrial Area, Haryana",76.94,28.35,2025,,,,,,,,,,,,,450,2,0.5,18,3,60,75
,,"Bareilly , Nakatiya",79.4609,28.3302,2025,,,,,,,,,,,,,20,3,11,11,1,2,3
